Date,Brine_In,Brine_Out,Initial_Concentration_(gpl)
01-01-2025,220186,174828,0.26
02-01-2025,180910,162424,0.24
03-01-2025,160182,162004,0.23
04-01-2025,165361,172824,0.26
05-01-2025,181710,163372,0.22
06-01-2025,154243,172836,0.22
07-01-2025,208378,164236,0.21
08-01-2025,205635,173020,0.2
09-01-2025,159795,162244,0.2
10-01-2025,140477,145488,0.2
11-01-2025,117655,66764,0.2
12-01-2025,85776,148704,0.24
13-01-2025,109112,153620,0.3
14-01-2025,156017,169100,0.21
15-01-2025,155568,171080,0.23
16-01-2025,132262,151260,0.24
17-01-2025,109517,171087,0.2
18-01-2025,180261,160308,0.21
19-01-2025,135257,170236,0.18
20-01-2025,141305,160656,0.18
21-01-2025,135889,171628,0.19
22-01-2025,137861,161676,0.19
23-01-2025,148067,175948,0.21
24-01-2025,176344,165520,0.21
25-01-2025,198249,175696,0.2
26-01-2025,202484,164720,0.2
27-01-2025,190838,176952,0.2
28-01-2025,194739,177424,0.18
29-01-2025,209832,156188,0.2
30-01-2025,204198,173680,0.21
31-01-2025,191976,162964,0.18
01-02-2025,195316,173552,0.18
02-02-2025,192811,152632,0.2
03-02-2025,196378,173396,0.21
04-02-2025,199126,173828,0.21
05-02-2025,189347,162136,0.19
06-02-2025,136995,115820,0.21
07-02-2025,154805,117826,0.21
08-02-2025,160168,178360,0.22
09-02-2025,140131,164904,0.2
10-02-2025,160818,171892,0.2
11-02-2025,161541,172888,0.2
12-02-2025,164328,162224,0.19
13-02-2025,133546,175200,0.19
14-02-2025,196150,170620,0.2
15-02-2025,162423,179788,0.21
16-02-2025,127654,168524,0.19
17-02-2025,129815,180356,0.22
18-02-2025,146037,176696,0.2
19-02-2025,119324,155816,0.21
20-02-2025,139759,179464,0.21
21-02-2025,150318,165668,0.21
22-02-2025,158219,177052,0.2
23-02-2025,177051,165362,0.2
24-02-2025,174400,178184,0.21
25-02-2025,167128,175096,0.19
26-02-2025,148854,152344,0.2
27-02-2025,167654,169308,0.2
28-02-2025,148783,166572,0.21
01-03-2025,195484,179216,0.21
02-03-2025,231822,168000,0.21
03-03-2025,198443,177656,0.2
04-03-2025,222342,173144,0.2
05-03-2025,207460,145192,0.2
06-03-2025,197423,160400,0.2
07-03-2025,217232,162844,0.2
08-03-2025,187109,169220,0.2
09-03-2025,230070,162452,0.2
10-03-2025,228183,164088,0.19
11-03-2025,232588,163560,0.2
12-03-2025,197923,158964,0.2
13-03-2025,220030,165676,0.2
14-03-2025,214060,171352,0.21
15-03-2025,212195,157852,0.2
16-03-2025,190273,160116,0.2
17-03-2025,176368,155972,0.2
18-03-2025,170702,158496,0.2
19-03-2025,161975,150056,0.2
20-03-2025,145713,147688,0.23
21-03-2025,103481,0,0.23
22-03-2025,76984,97548,0.26
23-03-2025,110294,161888,0.27
24-03-2025,136759,163824,0.2
25-03-2025,172681,176356,0.2
26-03-2025,189753,176032,0.22
27-03-2025,175012,165036,0.22
28-03-2025,176937,177268,0.2
29-03-2025,175698,164560,0.2
30-03-2025,170300,169312,0.21
31-03-2025,149442,155372,0.21
01-04-2025,151430,165132,0.25
02-04-2025,167890,157432,0.25
03-04-2025,148032,169264,0.24
04-04-2025,136441,156416,0.24
05-04-2025,150439,169572,0.24
06-04-2025,167656,159768,0.23
07-04-2025,167125,163656,0.23
08-04-2025,170999,165620,0.23
09-04-2025,166737,164924,0.22
10-04-2025,159871,154954,0.22
11-04-2025,162088,149632,0.22
12-04-2025,166657,165960,0.22
13-04-2025,176214,148728,0.22
14-04-2025,178873,155236,0.22
15-04-2025,153769,147460,0.24
16-04-2025,124216,173472,0.22
17-04-2025,143009,165728,0.22
18-04-2025,123404,158548,0.23
19-04-2025,150712,158440,0.23
20-04-2025,138285,162594,0.23
21-04-2025,140150,150616,0.24
22-04-2025,145408,154272,0.24
23-04-2025,160691,163810,0.24
24-04-2025,140336,154928,0.24
25-04-2025,158571,166832,0.25
26-04-2025,150454,154936,0.24
27-04-2025,151424,150876,0.21
28-04-2025,177110,166388,0.25
29-04-2025,198686,149244,0.27
30-04-2025,196001,163416,0.28
01-05-2025,232125,157320,0.3
02-05-2025,240474,161984,0.34
03-05-2025,242534,158712,0.34
04-05-2025,186962,164920,0.3
05-05-2025,221408,165464,0.3
